method,mean_intensity,std_intensity,contrast_ratio,laplacian_variance,entropy,edge_density,dynamic_range,local_contrast_consistency,filename,split,source
mild_clahe_percentile,0.60622936,0.21319231,0.35166881479873036,45.960252285105526,7.573978897652922,0.031586647033691406,1.0,29.240648859202537,6 BEEF Shoulder -1_grid_5x5_r2_c1_r6_c0.jpg,train,dataset_tile
percentile_only,0.6413607,0.1895549,0.29555070078614865,16.694562690037856,7.287363425950168,0.006011009216308594,1.0,42.9845011661275,6 BEEF Shoulder -1_grid_5x5_r2_c1_r6_c0.jpg,train,dataset_tile
current_zscore,0.0018357742,0.004492116,2.445655131236253,0.3827457426195906,0.9436141984755869,0.0,0.036949065,618.8652628197215,meattest-36_r4_c5.jpg,train,dataset_tile
clahe_percentile,0.76384765,0.1665519,0.21804306793891925,219.5347477095056,6.986498321006007,0.10690975189208984,1.0,22.182087614177576,meattest-36_r4_c5.jpg,train,dataset_tile
mild_clahe_percentile,0.7884165,0.15466169,0.19616723915310078,169.3799509123055,6.736128857757206,0.07314395904541016,1.0,21.533378957893277,meattest-36_r4_c5.jpg,train,dataset_tile
percentile_only,0.841983,0.12634659,0.15005817816934675,52.04406476794611,6.141152401677089,0.01889801025390625,1.0,22.01848261765513,meattest-36_r4_c5.jpg,train,dataset_tile
current_zscore,0.0017533165,0.0040547987,2.3113268097112987,0.23766994474044623,0.9325921315306972,0.0,0.037104312,793.6052340934416,6 BEEF Shoulder -1_grid_5x5_r6_c2_r9_c6.jpg,train,dataset_tile
clahe_percentile,0.7324568,0.1726515,0.23571528452124246,110.80094622939077,7.163674005654758,0.07642555236816406,1.0,23.316611043391035,6 BEEF Shoulder -1_grid_5x5_r6_c2_r9_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.76821315,0.15293534,0.19907904641710503,85.91589636111772,6.891241567087388,0.057056427001953125,1.0,24.07518263568325,6 BEEF Shoulder -1_grid_5x5_r6_c2_r9_c6.jpg,train,dataset_tile
percentile_only,0.8345742,0.11454508,0.13724955401083133,29.915071410938253,6.269442994599584,0.0149078369140625,1.0,28.119450376636347,6 BEEF Shoulder -1_grid_5x5_r6_c2_r9_c6.jpg,train,dataset_tile
current_zscore,-0.0039916164,0.0069873873,-1.750954381912728,0.12926006250836508,0.9995667559425326,0.0,0.03725956,773.2500823735215,meattest-3_r1_c1.jpg,train,dataset_tile
clahe_percentile,0.59856224,0.23135693,0.3865204510066815,170.47797102325998,7.751624676229923,0.10750293731689453,1.0,19.190425931407283,meattest-3_r1_c1.jpg,train,dataset_tile
mild_clahe_percentile,0.6296142,0.20951541,0.3327674049349916,134.7419068813324,7.609984162891822,0.07921504974365234,1.0,21.095198121641246,meattest-3_r1_c1.jpg,train,dataset_tile
percentile_only,0.68067545,0.19233894,0.2825702936142225,44.368304156559134,7.356527138463301,0.019458770751953125,1.0,28.112179570629827,meattest-3_r1_c1.jpg,train,dataset_tile
current_zscore,-0.0015922252,0.0073195794,-4.599964568155551,0.19028663633798715,0.9848575076247147,0.0,0.03725956,585.9954634688938,Meat_Lauren_r2_c6.jpg,train,dataset_tile
clahe_percentile,0.6339458,0.25135168,0.3964870164584635,128.92623019229956,7.711720936403382,0.11906814575195312,1.0,17.607576734376376,Meat_Lauren_r2_c6.jpg,train,dataset_tile
mild_clahe_percentile,0.66459084,0.23967406,0.3606334726197215,106.63931726078954,7.575710405324001,0.1032266616821289,1.0,18.115873240951498,Meat_Lauren_r2_c6.jpg,train,dataset_tile
percentile_only,0.7402296,0.20321923,0.27453503424967424,43.10975240380412,7.140548827390657,0.0399169921875,1.0,21.11938799653793,Meat_Lauren_r2_c6.jpg,train,dataset_tile
current_zscore,-0.0018022934,0.00619248,-3.4377966313910453,0.11992835989440209,0.6387911364449054,0.0,0.037570056,893.8505063160513,6 BEEF Shoulder -1_grid_5x5_r4_c4_r6_c1.jpg,train,dataset_tile
clahe_percentile,0.6489727,0.21934184,0.3379826450047011,106.83915744628757,7.557256704013385,0.0722818374633789,1.0,23.62603947332677,6 BEEF Shoulder -1_grid_5x5_r4_c4_r6_c1.jpg,train,dataset_tile
mild_clahe_percentile,0.6778966,0.20585038,0.3036599804409726,90.82829825387188,7.3768443628968905,0.062267303466796875,1.0,24.557687925096083,6 BEEF Shoulder -1_grid_5x5_r4_c4_r6_c1.jpg,train,dataset_tile
percentile_only,0.7352852,0.17417587,0.23688173130646129,32.03162641918516,6.931646245262449,0.018146514892578125,1.0,31.81521948013302,6 BEEF Shoulder -1_grid_5x5_r4_c4_r6_c1.jpg,train,dataset_tile
current_zscore,-0.0040613287,0.0067250347,-1.6562783833751433,0.05154705043150898,1.007322228639397,0.0,0.03694906,1343.337181426494,6 BEEF Shoulder -1_grid_5x5_r3_c0_r0_c6.jpg,train,dataset_tile
